CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2018 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
1,Afghanistan,Afghanistan,Asia-Pacific,154.00,38.00,51.30,17.90,28.20,26.20,91.80,79.30,98.30,53.00,57.30,77.80,66.00,10.00,10.00,7.02,20.00,20.00,5.00,26.30,Afghanistan,33.40,64.08,1.50,4.39,1918.60,8.54,4.38,99.57,8.27
2,Albania,Albania,Europe,65.00,32.00,64.50,54.10,25.40,39.90,85.10,72.70,67.50,69.10,50.40,82.40,87.80,70.00,70.00,1.11,23.00,15.00,27.20,30.15,Albania,2.89,34.16,2.60,2.05,11840.23,16.33,1.28,1124.35,71.54
3,Algeria,Algeria,Middle East / North Africa,172.00,14.00,44.70,27.80,35.20,29.00,74.00,45.90,19.20,68.10,48.70,69.90,63.50,25.00,30.00,8.27,35.00,23.00,29.10,42.47,Algeria,40.76,612.51,3.70,3.58,15026.46,11.22,6.40,1546.00,20.36
4,Angola,Angola,Sub-Saharan Africa,164.00,40.00,48.60,36.00,25.40,18.90,82.40,69.10,54.80,58.30,50.90,58.50,59.50,30.00,40.00,10.24,17.00,30.00,24.00,32.08,Angola,27.36,187.26,3.00,3.96,6844.43,6.58,32.38,14363.56,71.88
5,Argentina,Argentina,Americas,144.00,26.00,52.30,40.80,44.50,32.60,65.70,55.60,52.60,56.20,43.30,51.30,70.30,55.00,60.00,7.35,35.00,35.00,31.30,38.49,Argentina,43.60,874.07,1.20,-0.16,20047.49,6.56,58.40,5745.18,51.27
6,Armenia,Armenia,Europe,44.00,20.00,68.70,55.30,47.40,40.50,84.70,80.00,67.20,78.70,69.90,75.80,80.00,75.00,70.00,2.52,26.00,20.00,21.30,25.81,Armenia,2.99,25.78,3.00,3.45,8620.98,16.76,-1.41,338.03,51.81
7,Australia,Australia,Asia-Pacific,5.00,4.00,80.90,78.70,93.40,77.40,63.00,61.20,84.30,89.10,79.70,87.40,86.20,80.00,90.00,1.89,45.00,30.00,27.85,35.95,Australia,24.28,1187.32,2.50,2.68,48899.12,5.74,1.30,48190.25,41.09
8,Austria,Austria,Europe,32.00,17.00,71.80,83.50,80.90,73.50,49.90,19.40,81.10,75.50,66.70,83.70,86.90,90.00,70.00,1.57,50.00,25.00,43.46,51.82,Austria,8.69,417.23,0.90,0.79,48004.66,6.11,0.97,-6088.53,83.87
9,Azerbaijan,Azerbaijan,Asia-Pacific,67.00,14.00,64.30,53.60,36.80,39.90,87.50,59.40,95.50,72.30,71.90,65.60,74.60,55.00,60.00,5.19,25.00,20.00,15.00,36.77,Azerbaijan,9.49,165.53,1.10,1.62,17438.59,5.07,12.40,4500.00,37.67
10,Bahamas,Bahamas,Americas,74.00,15.00,63.30,46.50,53.50,50.90,96.50,82.90,59.00,68.30,64.60,79.20,52.70,45.00,60.00,18.66,0.00,0.00,18.80,23.84,Bahamas,0.37,9.04,0.50,0.18,24555.15,15.31,0.40,521.85,66.92
11,Bahrain,Bahrain,Middle East / North Africa,50.00,4.00,67.70,62.10,55.10,51.80,99.90,66.40,6.50,75.50,76.50,79.90,83.40,75.00,80.00,3.29,0.00,0.00,5.60,33.45,Bahrain,1.32,66.90,3.20,3.85,50704.07,1.28,2.80,281.91,82.12
12,Bangladesh,Bangladesh,Asia-Pacific,128.00,29.00,55.10,32.40,32.60,21.20,72.70,94.20,78.90,52.10,66.40,69.00,61.20,50.00,30.00,11.89,25.00,45.00,8.80,13.86,Bangladesh,161.51,628.38,6.40,6.47,3890.59,4.07,6.35,2332.72,33.08
13,Barbados,Barbados,Americas,117.00,24.00,57.00,51.40,54.40,53.80,74.00,39.30,0.00,70.50,63.20,85.00,62.20,70.00,60.00,13.90,35.00,25.00,27.30,44.98,Barbados,0.28,4.79,0.50,0.56,17100.17,11.39,0.30,228.29,107.89
14,Belarus,Belarus,Europe,108.00,42.00,58.10,53.50,57.30,42.00,89.80,47.90,75.40,74.10,73.10,62.30,81.40,30.00,10.00,1.80,13.00,18.00,23.00,41.67,Belarus,9.50,170.96,-3.90,-0.49,17999.70,0.53,11.83,1235.30,52.28
15,Belgium,Belgium,Europe,52.00,25.00,67.50,81.20,69.50,70.90,44.00,12.10,67.90,80.60,59.50,82.60,86.90,85.00,70.00,1.57,50.00,33.00,44.81,54.12,Belgium,11.31,509.53,1.40,0.89,45046.94,8.26,1.77,33102.70,105.53
16,Belize,Belize,Americas,116.00,23.00,57.10,42.10,53.50,34.70,80.00,65.50,50.00,62.90,48.70,78.30,64.90,55.00,50.00,10.04,25.00,25.00,27.30,33.90,Belize,0.38,3.09,1.50,2.08,8219.91,11.03,1.18,32.50,98.56
17,Benin,Benin,Sub-Saharan Africa,120.00,17.00,56.70,35.50,31.30,30.20,67.40,85.60,49.70,60.70,49.90,84.70,55.60,80.00,50.00,17.22,45.00,30.00,18.30,21.87,Benin,11.13,23.59,5.20,4.90,2119.43,1.01,-0.81,160.59,50.30
18,Bhutan,Bhutan,Asia-Pacific,87.00,20.00,61.80,60.90,51.60,50.90,83.00,72.20,80.00,72.50,75.70,70.50,74.40,20.00,30.00,2.82,25.00,30.00,13.10,30.46,Bhutan,0.79,6.51,7.70,5.26,8227.37,2.38,4.18,-12.48,110.24
19,Bolivia,Bolivia,Americas,173.00,30.00,44.10,19.00,11.40,23.10,85.70,46.50,46.80,59.20,49.20,67.50,75.50,5.00,40.00,4.75,13.00,25.00,25.30,42.23,Bolivia,10.90,78.66,4.80,5.27,7218.49,3.71,3.63,410.12,42.10
20,Bosnia and Herzegovina,BosniaHerzegovina,Europe,91.00,38.00,61.40,39.50,43.70,28.40,83.50,41.50,94.40,49.30,59.60,83.50,87.80,65.00,60.00,1.09,10.00,10.00,38.10,44.15,Bosnia and Herzegovina,3.85,42.23,2.80,1.60,10957.54,25.76,-1.10,285.24,44.37
21,Botswana,Botswana,Sub-Saharan Africa,35.00,2.00,69.90,57.70,54.70,56.60,76.10,63.40,98.20,69.50,64.60,79.00,83.90,65.00,70.00,0.54,25.00,22.00,35.80,34.93,Botswana,2.15,36.71,-0.30,4.22,17041.58,18.37,2.81,10.46,13.89
22,Brazil,Brazil,Americas,153.00,27.00,51.40,55.80,55.50,31.40,70.60,50.70,7.70,58.60,46.80,71.40,68.50,50.00,50.00,8.27,27.50,34.00,32.00,40.54,Brazil,206.10,3141.34,-3.80,-0.39,15241.73,11.45,8.74,58679.59,78.32
23,Bulgaria,Bulgaria,Europe,47.00,23.00,68.30,63.60,42.50,38.20,90.90,60.50,94.30,64.30,66.10,82.80,86.90,70.00,60.00,1.57,10.00,10.00,26.70,36.29,Bulgaria,7.11,144.60,3.00,1.86,20326.70,8.00,-1.32,776.19,27.83
24,Burkina Faso,BurkinaFaso,Sub-Saharan Africa,95.00,8.00,60.00,42.10,47.10,31.80,80.60,83.70,80.40,51.50,47.00,84.50,65.80,65.00,40.00,9.59,27.50,27.50,20.60,23.30,Burkina Faso,18.42,32.83,4.00,5.15,1782.15,2.99,0.75,308.72,32.47
25,Burma,Burma,Asia-Pacific,135.00,33.00,53.90,32.50,17.60,28.20,86.30,84.70,89.20,54.20,65.90,67.60,70.90,30.00,20.00,4.56,20.00,30.00,8.20,22.58,Burma,52.25,304.73,7.00,7.47,5831.82,0.81,7.00,2190.00,35.79
26,Burundi,Burundi,Sub-Saharan Africa,157.00,34.00,50.90,17.60,21.70,26.20,71.00,78.60,54.80,53.00,63.20,70.20,69.20,55.00,30.00,5.39,35.00,35.00,21.20,26.71,Burundi,9.65,7.85,-4.10,1.98,813.71,1.60,5.53,0.06,47.16
27,Cambodia,Cambodia,Asia-Pacific,101.00,22.00,58.70,36.00,24.50,17.70,89.80,86.50,92.10,30.60,57.70,79.70,80.30,60.00,50.00,4.85,20.00,20.00,15.00,21.18,Cambodia,15.78,58.95,6.90,7.17,3736.88,0.27,3.00,1916.07,32.96
28,Cameroon,Cameroon,Sub-Saharan Africa,149.00,32.00,51.90,40.60,29.40,23.40,73.70,86.10,72.00,44.00,42.90,82.50,53.40,25.00,50.00,15.78,35.00,33.00,17.80,21.56,Cameroon,23.69,76.95,5.90,5.26,3248.78,4.51,0.87,128.20,32.82
29,Canada,Canada,Americas,9.00,1.00,77.70,87.50,77.10,78.30,76.70,52.30,81.20,81.80,71.30,77.50,88.10,80.00,80.00,0.96,33.00,15.00,31.94,39.87,Canada,36.23,1682.36,1.20,1.83,46437.16,7.07,1.41,33721.14,92.33
30,Cabo Verde,CaboVerde,Sub-Saharan Africa,96.00,9.00,60.00,42.10,52.00,42.80,74.00,71.50,40.20,64.60,40.50,83.50,68.20,80.00,60.00,10.89,35.00,24.00,27.40,30.80,Cabo Verde,0.53,3.54,1.80,1.52,6662.02,10.52,-1.49,119.44,133.82
31,Central African Republic,CentralAfricanRepublic,Sub-Saharan Africa,163.00,39.00,49.20,17.90,28.20,24.60,64.60,94.60,96.40,27.20,34.50,70.50,57.20,45.00,30.00,13.88,50.00,30.00,11.80,13.36,Central African Republic,4.89,3.19,4.30,-4.44,651.92,6.87,4.62,31.20,42.52
32,Chad,Chad,Sub-Saharan Africa,162.00,38.00,49.30,25.10,24.10,23.10,44.80,90.50,81.90,29.40,40.30,79.90,52.20,60.00,40.00,13.92,60.00,45.00,12.70,17.75,Chad,11.86,28.99,1.80,3.37,2445.18,5.79,-1.12,559.86,51.16
33,Chile,Chile,Americas,20.00,3.00,75.20,67.90,63.40,61.20,78.00,81.30,91.70,72.40,60.40,82.40,88.70,85.00,70.00,0.64,35.00,25.00,18.80,24.99,Chile,18.20,438.75,2.10,3.04,24112.94,6.57,3.79,11265.71,21.18
34,China,China,Asia-Pacific,110.00,24.00,57.80,46.70,65.40,47.30,70.40,71.60,85.90,54.90,61.40,71.40,73.20,25.00,20.00,3.41,45.00,25.00,17.50,30.75,China,1382.71,21291.77,6.90,7.32,15398.58,4.61,2.00,133700.00,46.23
35,Colombia,Colombia,Americas,42.00,6.00,68.90,60.70,36.40,33.40,80.30,74.40,82.20,78.60,75.20,73.90,81.60,80.00,70.00,4.21,33.00,25.00,16.10,29.20,Colombia,48.75,688.82,3.10,3.66,14130.18,9.87,7.51,13592.65,47.59
36,Comoros,Comoros,Sub-Saharan Africa,121.00,18.00,56.20,36.70,28.20,27.50,59.70,77.80,96.60,57.50,58.70,81.20,74.90,45.00,30.00,5.04,30.00,50.00,25.10,27.19,Comoros,0.82,1.26,1.00,2.32,1529.16,19.96,2.00,8.02,26.27
37,"Congo, Democratic Republic of the Congo",DemcoraticRepublicCongo,Sub-Saharan Africa,147.00,30.00,52.10,24.10,23.90,27.30,73.20,94.80,99.10,60.20,47.80,60.30,64.60,30.00,20.00,10.19,30.00,40.00,13.60,13.19,"Congo, Democratic Republic of the Congo",84.13,65.04,7.70,6.87,773.06,3.64,22.43,1204.71,21.51
38,"Congo, Republic of",RepublicCongo,Sub-Saharan Africa,177.00,47.00,38.90,32.40,28.20,24.60,60.80,33.40,6.20,31.30,34.10,73.80,61.90,50.00,30.00,11.55,45.00,34.00,27.20,47.11,"Congo, Republic of",4.46,29.78,2.50,2.77,6676.10,11.19,3.58,2006.00,82.96
39,Costa Rica,CostaRica,Americas,57.00,11.00,65.60,54.80,57.80,51.80,79.30,88.90,46.80,68.30,50.30,85.00,84.70,70.00,50.00,2.66,25.00,30.00,23.40,19.26,Costa Rica,4.91,80.70,3.70,3.96,16435.83,9.00,-0.02,2762.14,43.71
40,Côte d'Ivoire,CoeDivoire,Sub-Saharan Africa,85.00,6.00,62.00,39.40,44.20,36.60,76.40,84.60,80.80,62.10,47.60,73.60,73.70,75.00,50.00,8.16,36.00,25.00,20.90,22.65,Côte d'Ivoire,24.33,87.80,8.60,8.93,3609.03,9.32,1.00,481.03,48.77
41,Croatia,Croatia,Europe,92.00,39.00,61.00,65.90,56.50,40.50,66.00,32.50,67.20,58.90,43.00,79.10,87.40,75.00,60.00,1.30,40.00,20.00,37.40,47.42,Croatia,4.17,95.06,1.60,0.17,22795.31,13.48,-1.13,1744.66,84.38
42,Cuba,Cuba,Americas,178.00,31.00,31.90,29.70,10.00,38.10,49.00,0.00,64.40,20.00,20.00,66.40,64.70,10.00,10.00,7.66,50.00,30.00,41.20,62.41,Cuba,11.50,142.00,4.30,2.04,12390.00,2.92,4.50,n/a,42.50
43,Cyprus,Cyprus,Europe,48.00,24.00,67.80,71.20,56.70,41.30,75.20,52.90,79.30,77.00,55.70,83.00,86.90,75.00,60.00,1.57,35.00,12.50,33.20,39.63,Cyprus,0.85,29.67,1.60,-1.23,34970.30,11.73,-1.22,4137.76,107.96
44,Czech Republic,CzechRepublic,Europe,24.00,13.00,74.20,73.00,57.90,51.10,82.90,48.60,96.20,72.50,76.80,85.20,86.90,80.00,80.00,1.57,15.00,19.00,33.47,41.41,Czech Republic,10.55,350.72,4.20,1.68,33231.52,4.05,0.69,6751.87,37.67
45,Denmark,Denmark,Europe,12.00,6.00,76.60,84.80,83.60,84.10,41.40,10.60,96.70,92.50,82.80,86.40,86.90,90.00,80.00,1.57,56.00,23.50,46.62,54.59,Denmark,5.71,273.87,1.20,1.12,47985.37,6.05,0.25,950.72,39.87
46,Djibouti,Djibouti,Sub-Saharan Africa,171.00,43.00,45.10,19.00,13.80,29.00,69.80,27.20,18.00,51.70,58.90,69.50,54.90,80.00,50.00,17.56,30.00,25.00,38.70,49.26,Djibouti,0.99,3.35,6.50,5.77,3369.58,6.61,3.00,160.00,31.26
47,Dominica,Dominica,Americas,66.00,13.00,64.50,48.60,69.20,49.90,72.90,64.80,85.20,71.70,57.70,86.60,62.60,75.00,30.00,13.72,35.00,30.00,24.10,34.23,Dominica,0.07,0.81,-4.30,0.54,11374.59,N/A,0.03,31.37,80.97
48,Dominican Republic,DominicanRepublic,Americas,89.00,18.00,61.60,51.70,23.10,26.20,84.60,90.60,90.50,53.20,54.30,77.10,72.40,75.00,40.00,6.30,25.00,27.00,13.70,17.69,Dominican Republic,10.08,161.84,7.00,5.75,16049.46,14.36,1.61,2406.70,34.44
49,Ecuador,Ecuador,Americas,165.00,28.00,48.50,36.70,23.30,30.20,79.40,52.50,47.00,55.60,43.70,70.10,68.80,35.00,40.00,5.60,35.00,22.00,18.80,39.80,Ecuador,16.53,183.61,0.00,2.51,11108.56,5.36,1.72,744.04,29.24
50,Egypt,Egypt,Middle East / North Africa,139.00,11.00,53.40,32.70,52.50,32.20,84.20,65.10,1.20,71.50,51.50,69.60,70.90,60.00,50.00,7.04,25.00,25.00,18.20,34.10,Egypt,90.20,1132.37,4.20,3.42,12553.94,12.01,10.20,8106.80,97.07
51,El Salvador,ElSalvador,Americas,75.00,16.00,63.20,37.30,35.40,25.20,78.90,86.30,78.50,58.20,52.90,79.80,86.40,80.00,60.00,1.79,30.00,30.00,17.50,21.35,El Salvador,6.15,54.79,2.40,2.00,8909.43,6.29,0.60,373.45,59.89
52,Equatorial Guinea,EquatorialGuinea,Sub-Saharan Africa,175.00,45.00,42.00,29.80,17.60,26.20,69.60,61.00,19.10,45.60,29.80,81.70,53.80,40.00,30.00,15.60,35.00,35.00,24.30,36.06,Equatorial Guinea,0.82,31.72,-12.20,-2.75,38639.07,7.33,1.40,53.96,21.66
53,Eritrea,Eritrea,Sub-Saharan Africa,176.00,46.00,41.70,35.50,13.80,23.40,79.90,75.60,0.00,56.70,65.70,60.90,69.20,0.00,20.00,5.40,30.00,30.00,14.40,28.52,Eritrea,6.50,9.17,4.80,4.70,1410.33,7.27,9.00,52.31,125.54
54,Estonia,Estonia,Europe,7.00,3.00,78.80,80.40,83.90,75.70,80.70,52.60,99.80,75.60,54.80,85.10,86.90,90.00,80.00,1.57,20.00,20.00,33.59,39.76,Estonia,1.31,38.45,1.10,2.31,29312.90,6.91,0.80,870.45,9.49
55,Ethiopia,Ethiopia,Sub-Saharan Africa,142.00,27.00,52.80,31.10,37.60,37.70,76.50,90.60,85.50,40.20,51.30,67.10,60.70,35.00,20.00,12.14,35.00,30.00,15.10,17.73,Ethiopia,91.20,177.46,10.20,9.46,1945.89,5.74,7.26,3196.39,54.86
56,Fiji,Fiji,Asia-Pacific,84.00,19.00,62.00,68.30,47.10,34.80,81.40,68.20,63.00,62.80,70.80,74.10,68.80,55.00,50.00,10.58,29.00,20.00,24.80,32.58,Fiji,0.90,8.30,4.30,3.46,9268.06,7.94,3.87,269.51,49.60
57,Finland,Finland,Europe,26.00,15.00,74.10,89.00,82.70,89.80,66.50,2.30,81.10,89.90,50.50,86.00,86.90,85.00,80.00,1.57,31.80,20.00,43.99,57.05,Finland,5.49,231.37,0.40,-0.23,42164.60,9.00,0.39,42.03,63.56
58,France,France,Europe,71.00,34.00,63.90,84.00,72.70,65.10,47.30,2.70,60.80,80.20,45.00,81.60,81.90,75.00,70.00,1.57,45.00,34.30,45.50,56.95,France,64.61,2733.68,1.10,0.78,42313.99,9.97,0.31,28351.62,96.65
59,Gabon,Gabon,Sub-Saharan Africa,109.00,13.00,58.00,29.90,27.80,33.40,74.30,84.60,92.30,49.30,61.70,81.40,60.90,60.00,40.00,14.54,35.00,30.00,21.20,22.62,Gabon,1.88,35.85,4.00,4.27,19056.49,18.51,2.09,703.19,61.97
60,Gambia,Gambia,Sub-Saharan Africa,145.00,28.00,52.30,34.40,38.80,36.80,71.90,74.00,0.00,54.20,64.00,63.20,64.70,75.00,50.00,12.66,35.00,32.00,23.70,29.41,Gambia,2.06,3.43,4.40,3.61,1666.60,29.70,7.23,-1.84,116.11
