CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2018 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
124,Norway,Norway,Europe,23.00,12.00,74.30,86.40,86.00,93.60,56.40,29.20,97.80,90.40,54.60,73.90,87.90,75.00,60.00,1.04,47.80,25.00,38.07,48.57,Norway,5.26,364.44,1.60,1.66,69249.46,4.81,3.55,-5532.74,33.20
125,Oman,Oman,Middle East / North Africa,93.00,8.00,61.00,59.50,57.40,51.50,98.50,25.00,17.70,76.30,55.20,79.20,86.20,65.00,60.00,1.90,0.00,12.00,8.50,50.00,Oman,3.96,184.79,4.10,4.70,46697.96,17.52,1.10,142.00,34.27
126,Pakistan,Pakistan,Asia-Pacific,131.00,31.00,54.40,36.00,34.00,27.30,78.50,88.20,54.00,55.30,40.60,77.70,65.90,55.00,40.00,9.53,30.00,33.00,12.60,19.80,Pakistan,193.56,988.24,4.20,4.06,5105.60,5.87,2.86,2006.00,66.89
127,Panama,Panama,Americas,54.00,10.00,67.00,60.90,29.40,38.80,85.00,84.10,86.10,74.40,43.50,79.50,77.80,75.00,70.00,6.08,25.00,25.00,15.80,23.05,Panama,4.04,92.95,5.80,6.54,23023.89,5.82,0.74,5209.30,39.17
128,Papua New Guinea,PapuaNewGuinea,Asia-Pacific,127.00,28.00,55.70,38.00,55.10,33.10,71.10,82.00,51.90,60.60,66.70,68.80,85.90,25.00,30.00,2.03,42.00,30.00,15.10,24.47,Papua New Guinea,7.91,28.01,9.00,5.47,3540.98,2.49,6.93,-39.58,33.48
129,Paraguay,Paraguay,Americas,82.00,17.00,62.10,38.30,28.20,28.30,96.10,82.20,97.10,62.20,29.90,72.40,76.10,75.00,60.00,4.43,10.00,10.00,13.80,24.38,Paraguay,6.86,64.41,3.00,4.91,9396.02,5.44,4.09,273.58,24.73
130,Peru,Peru,Americas,43.00,7.00,68.70,56.90,33.50,36.60,80.60,85.60,94.70,69.20,62.40,83.10,87.10,75.00,60.00,1.43,30.00,28.00,15.90,21.93,Peru,31.48,406.21,3.30,4.28,12903.09,4.95,3.59,6862.89,24.82
131,Philippines,Philippines,Asia-Pacific,61.00,13.00,65.00,45.00,38.20,34.40,78.90,89.30,97.70,62.60,57.60,76.30,80.70,60.00,60.00,2.15,32.00,30.00,13.70,18.91,Philippines,104.20,805.23,5.80,6.54,7728.07,5.88,1.78,7912.20,33.71
132,Poland,Poland,Europe,45.00,21.00,68.50,61.80,56.60,50.90,75.90,47.80,81.50,67.20,63.90,85.00,86.90,75.00,70.00,1.57,32.00,19.00,32.08,41.70,Poland,37.97,1054.13,3.60,2.61,27764.26,6.18,-0.58,11357.85,54.24
133,Portugal,Portugal,Europe,72.00,35.00,63.40,69.20,70.10,56.80,59.80,29.80,46.00,83.20,44.10,85.30,86.90,70.00,60.00,1.57,48.00,23.00,34.49,48.38,Portugal,10.33,298.74,1.50,-0.25,28933.32,11.16,0.64,6064.56,130.30
134,Qatar,Qatar,Middle East / North Africa,29.00,2.00,72.60,70.30,59.80,71.60,99.60,60.20,95.40,71.30,65.40,75.00,83.30,60.00,60.00,3.36,0.00,0.00,6.40,36.43,Qatar,2.58,329.16,3.30,3.86,127659.60,0.23,2.66,773.90,47.60
135,Romania,Romania,Europe,37.00,19.00,69.40,61.00,59.70,40.00,87.30,66.90,91.10,65.20,66.80,82.80,86.90,75.00,50.00,1.57,16.00,16.00,27.50,33.22,Romania,19.76,441.60,3.70,3.19,22347.88,6.42,-1.56,4573.02,39.20
136,Russia,Russia,Europe,107.00,41.00,58.20,48.70,46.90,38.10,85.80,62.50,87.70,77.00,52.00,60.80,79.40,30.00,30.00,2.80,13.00,20.00,29.20,35.35,Russia,143.44,3799.70,-3.70,0.49,26489.82,5.72,7.05,37667.63,17.04
137,Rwanda,Rwanda,Sub-Saharan Africa,39.00,3.00,69.10,69.80,79.60,61.20,75.80,77.70,82.30,55.00,81.20,76.50,70.70,60.00,40.00,7.15,30.00,30.00,25.00,27.24,Rwanda,11.53,22.79,6.90,7.18,1976.82,2.53,5.72,409.79,37.64
138,Saint Lucia,SaintLucia,Americas,51.00,9.00,67.60,67.90,69.20,50.90,75.50,72.40,67.70,76.60,69.50,81.70,74.30,65.00,40.00,7.84,30.00,30.00,25.50,30.31,Saint Lucia,0.17,2.06,1.60,0.32,11782.93,19.76,-1.74,94.59,82.93
139,Saint Vincent and the Grenadines,SaintVincentGrenadines,Americas,49.00,8.00,67.70,36.70,69.20,51.50,72.70,72.70,83.40,80.00,75.00,85.40,75.70,70.00,40.00,7.15,32.50,33.00,24.20,30.14,Saint Vincent and the Grenadines,0.11,1.24,1.60,1.29,11270.50,19.31,-0.13,103.51,79.25
140,Samoa,Samoa,Asia-Pacific,90.00,21.00,61.50,53.10,38.80,40.10,79.90,55.10,78.10,77.00,76.50,84.80,70.20,55.00,30.00,9.90,27.00,27.00,23.60,38.70,Samoa,0.20,1.08,1.70,1.58,5553.35,7.16,0.13,2.34,52.61
141,São Tomé and Príncipe,SaoTomePrincipe,Sub-Saharan Africa,137.00,26.00,53.60,38.00,28.20,39.40,82.00,69.50,45.80,65.90,42.70,70.10,71.80,60.00,30.00,9.10,20.00,25.00,27.80,31.87,São Tomé and Príncipe,0.21,0.64,4.00,4.18,3071.84,13.60,5.43,22.15,92.78
142,Saudi Arabia,SaudiArabia,Middle East / North Africa,98.00,9.00,59.60,53.10,60.20,49.90,99.70,52.00,19.70,74.00,64.80,73.80,78.20,40.00,50.00,3.40,2.50,2.50,8.70,40.00,Saudi Arabia,31.74,1750.86,3.40,3.45,55158.22,5.53,3.51,7452.53,12.36
143,Senegal,Senegal,Sub-Saharan Africa,126.00,21.00,55.70,41.30,40.40,42.60,68.50,72.70,58.40,51.50,41.40,84.70,66.70,60.00,40.00,11.64,40.00,30.00,25.50,30.17,Senegal,15.41,39.69,6.50,5.10,2576.59,9.48,0.85,392.82,57.44
144,Serbia,Serbia,Europe,80.00,37.00,62.50,46.20,48.20,36.50,83.50,40.60,67.00,68.30,69.20,82.90,87.40,70.00,50.00,1.29,15.00,15.00,34.60,44.51,Serbia,7.02,101.75,0.70,0.65,14493.13,16.53,1.12,2298.78,74.14
145,Seychelles,Seychelles,Sub-Saharan Africa,88.00,7.00,61.60,60.70,38.80,38.80,73.40,63.00,90.60,63.40,57.50,81.50,86.70,55.00,30.00,1.64,15.00,33.00,36.70,35.13,Seychelles,0.09,2.60,4.40,5.01,27602.21,N/A,-1.01,155.24,68.59
146,Sierra Leone,SierraLeone,Sub-Saharan Africa,151.00,33.00,51.80,33.60,29.60,22.00,79.90,89.80,65.90,51.30,30.50,69.50,69.40,60.00,20.00,10.31,30.00,30.00,14.50,18.40,Sierra Leone,6.44,10.76,-21.50,4.95,1671.64,3.00,11.30,516.00,53.41
147,Singapore,Singapore,Asia-Pacific,2.00,2.00,88.80,98.40,90.90,91.20,90.40,90.60,80.00,90.90,92.60,85.20,90.00,85.00,80.00,0.00,22.00,17.00,13.60,17.71,Singapore,5.61,492.63,2.00,3.27,87855.38,1.83,-0.53,61596.68,112.03
148,Slovakia,Slovakia,Europe,59.00,29.00,65.30,68.20,38.80,38.20,78.90,44.30,84.90,63.90,54.00,81.00,86.90,75.00,70.00,1.57,25.00,21.00,32.25,43.07,Slovak Republic,5.43,170.05,3.60,2.57,31338.81,9.99,-0.47,-295.35,52.27
149,Slovenia,Slovenia,Europe,64.00,31.00,64.80,76.60,57.70,52.10,58.70,31.20,66.30,79.50,61.30,87.30,86.90,70.00,50.00,1.57,50.00,17.00,36.60,47.88,Slovenia,2.06,66.23,2.90,0.83,32084.87,8.69,-0.06,919.21,78.91
150,Solomon Islands,SolomonIslands,Asia-Pacific,114.00,26.00,57.50,49.40,57.30,36.80,65.50,35.60,99.80,68.90,72.40,84.00,74.70,15.00,30.00,7.65,40.00,30.00,30.80,46.35,Solomon Islands,0.60,1.19,3.30,2.94,1972.58,31.43,0.44,24.53,9.04
151,South Africa,SouthAfrica,Sub-Saharan Africa,77.00,4.00,63.00,67.70,65.90,45.40,62.50,68.10,74.60,65.10,60.10,74.60,71.60,50.00,50.00,4.22,45.00,28.00,30.60,32.63,South Africa,55.91,739.42,1.30,1.60,13225.43,25.93,6.34,2270.42,50.47
152,Spain,Spain,Europe,60.00,30.00,65.10,73.10,62.00,51.50,62.00,42.80,36.10,66.30,59.00,86.70,86.90,85.00,70.00,1.57,45.00,25.00,33.85,43.68,Spain,46.32,1686.89,3.20,0.64,36415.96,19.45,-0.20,18658.86,99.26
153,Sri Lanka,SriLanka,Asia-Pacific,111.00,25.00,57.80,46.50,52.00,30.70,84.90,89.30,24.90,76.20,60.10,74.00,74.50,40.00,40.00,5.25,24.00,28.00,12.10,18.86,Sri Lanka,21.25,260.59,5.20,5.30,12262.32,4.98,3.73,898.08,77.34
154,Sudan,Sudan,Sub-Saharan Africa,161.00,37.00,49.40,27.80,21.40,21.20,85.90,95.30,87.20,52.30,58.80,62.20,56.10,5.00,20.00,11.95,10.00,35.00,9.00,12.48,Sudan,39.60,176.09,3.50,2.35,4446.76,13.30,17.75,1063.77,64.18
155,Suriname,Suriname,Americas,166.00,29.00,48.10,39.70,21.40,39.90,71.40,76.40,11.70,48.30,73.50,50.50,74.80,40.00,30.00,7.61,38.00,36.00,11.10,28.07,Suriname,0.56,7.89,0.10,-1.44,13988.19,9.98,55.50,221.79,64.61
156,Swaziland,Swaziland,Sub-Saharan Africa,123.00,20.00,55.90,55.30,35.30,26.90,74.80,65.20,39.70,61.10,69.50,73.20,79.70,50.00,40.00,5.17,33.00,27.50,26.00,34.07,Swaziland,1.13,11.07,1.70,2.52,9775.76,25.28,8.03,-10.61,27.50
157,Sweden,Sweden,Europe,15.00,8.00,76.30,92.60,88.20,92.90,43.90,23.20,96.10,89.30,53.70,83.80,86.90,85.00,80.00,1.57,57.00,22.00,43.34,50.58,Sweden,10.00,498.12,4.10,2.19,49836.22,7.09,1.14,19583.88,41.65
158,Switzerland,Switzerland,Europe,4.00,1.00,81.70,84.20,82.10,82.80,70.50,65.40,95.90,75.70,73.90,85.20,90.00,85.00,90.00,0.00,40.00,24.00,27.89,33.97,Switzerland,8.33,495.96,0.90,1.39,59560.70,4.58,-0.43,-26340.20,45.39
159,Syria,Syria,Middle East / North Africa,N/A,N/A,N/A,36.70,22.10,23.10,N/A,n/a,13.84,61.80,59.25,44.20,56.64,0.00,N/A,14.18,22.00,28.00,n/a,n/a,Syria,18.40,$21.0 (nominal),-4.80,N/A,n/a,14.31,44.50,n/a,55.50
160,Taiwan ,Taiwan,Asia-Pacific,13.00,5.00,76.60,84.30,69.20,70.90,76.10,90.40,90.80,93.20,54.90,83.30,86.20,60.00,60.00,1.90,45.00,17.00,8.70,17.85,Taiwan ,23.54,1132.14,0.70,2.08,48094.79,3.96,1.39,8333.00,35.37
161,Tajikistan,Tajikistan,Asia-Pacific,106.00,23.00,58.30,46.80,50.30,38.20,91.80,71.40,90.40,63.40,52.20,69.60,70.60,25.00,30.00,7.18,13.00,15.00,20.60,30.87,Tajikistan,8.66,26.03,3.00,6.90,3007.57,10.82,5.91,434.22,35.32
162,Tanzania,Tanzania,Sub-Saharan Africa,97.00,10.00,59.90,38.00,34.70,31.80,79.80,89.80,79.00,50.00,63.90,70.30,76.90,55.00,50.00,6.54,30.00,30.00,15.00,18.45,Tanzania,48.63,149.80,7.00,6.58,3080.32,2.62,5.17,1365.40,39.01
163,Thailand,Thailand,Asia-Pacific,53.00,12.00,67.10,48.60,45.30,34.70,81.30,85.50,96.40,77.20,62.60,75.50,83.10,55.00,60.00,3.47,35.00,20.00,15.70,21.98,Thailand,68.98,1164.93,2.80,3.41,16887.65,0.63,0.19,1554.16,42.24
164,Timor-Leste,TimorLeste,Asia-Pacific,167.00,41.00,48.10,29.90,13.80,32.00,97.40,30.90,20.00,66.90,62.70,78.40,80.00,45.00,20.00,2.50,10.00,10.00,8.00,47.98,Timor-Leste,1.19,4.98,4.30,4.76,4186.55,4.02,-1.34,5.48,0.00
165,Togo,Togo,Sub-Saharan Africa,168.00,41.00,47.80,32.70,28.20,31.40,64.30,73.30,7.50,49.70,45.20,78.50,67.20,65.00,30.00,11.41,45.00,27.00,28.50,29.81,Togo,7.51,11.64,5.30,5.54,1550.29,6.79,0.90,254.94,79.10
166,Tonga,Tonga,Asia-Pacific,76.00,17.00,63.10,62.10,25.40,40.50,85.40,68.70,95.90,75.50,86.40,78.30,78.60,40.00,20.00,5.72,20.00,25.00,20.80,32.31,Tonga,0.10,0.56,2.60,1.66,5386.47,4.87,1.43,8.86,45.10
167,Trinidad and Tobago,TrinidadTobago,Americas,112.00,22.00,57.70,54.90,49.80,33.10,83.50,54.40,12.60,68.30,74.50,77.40,73.50,60.00,50.00,8.27,25.00,25.00,20.00,38.97,Trinidad and Tobago,1.37,43.55,-1.80,-0.46,31870.29,3.85,3.43,-60.38,61.01
168,Tunisia,Tunisia,Middle East / North Africa,99.00,10.00,58.90,49.40,41.70,36.80,73.00,75.50,61.60,81.40,52.90,77.20,82.10,45.00,30.00,3.94,35.00,30.00,24.00,28.58,Tunisia,11.22,130.58,0.80,2.14,11634.07,14.79,3.73,957.62,60.64
169,Turkey,Turkey,Europe,58.00,28.00,65.40,54.70,54.50,42.00,74.70,68.10,93.60,63.30,47.60,72.30,78.60,75.00,60.00,3.20,35.00,20.00,30.03,32.61,Turkey,79.82,1988.33,3.80,5.48,24911.75,10.33,7.78,11987.00,29.10
170,Turkmenistan,Turkmenistan,Asia-Pacific,169.00,42.00,47.10,29.80,5.00,27.30,95.90,92.20,98.60,30.00,20.00,76.30,80.00,0.00,10.00,0.00,10.00,8.00,15.60,16.10,Turkmenistan,5.46,95.53,6.50,8.85,17485.20,8.62,3.53,4522.48,23.87
171,Uganda,Uganda,Sub-Saharan Africa,83.00,5.00,62.00,43.50,40.30,28.30,73.00,90.90,80.70,45.40,83.90,80.50,78.10,60.00,40.00,5.93,40.00,30.00,14.30,17.39,Uganda,41.09,84.98,5.00,4.28,2068.23,2.28,5.46,541.19,36.87
172,Ukraine,Ukraine,Europe,150.00,44.00,51.90,41.00,29.50,29.00,80.20,45.00,75.90,62.70,52.80,60.10,81.10,35.00,30.00,1.93,20.00,18.00,35.50,42.80,Ukraine,42.50,352.98,-9.90,-2.76,8305.08,8.87,13.91,3336.00,81.25
173,United Arab Emirates,UnitedArabEmirates,Middle East / North Africa,10.00,1.00,77.60,76.30,83.40,77.30,98.40,70.90,99.00,79.90,81.10,80.20,84.30,40.00,60.00,2.83,0.00,0.00,12.80,31.15,United Arab Emirates,9.86,668.93,3.90,4.28,67870.78,3.69,1.77,8985.71,19.30
174,United Kingdom,UnitedKingdom,Europe,8.00,4.00,78.00,92.20,93.80,79.00,65.20,44.40,53.50,91.10,74.40,85.20,86.90,90.00,80.00,1.57,45.00,20.00,32.52,43.04,United Kingdom,65.57,2785.56,2.20,2.06,42480.72,4.85,0.64,253825.78,89.16
175,United States,UnitedStates,Americas,18.00,2.00,75.70,79.30,76.90,71.90,65.10,56.50,54.80,82.70,91.40,78.60,86.70,85.00,80.00,1.64,39.60,35.00,26.36,38.06,United States,323.30,18569.10,2.40,2.10,57436.41,4.91,1.28,391104.00,107.35
176,Uruguay,Uruguay,Americas,38.00,4.00,69.20,69.30,67.00,71.60,78.00,68.60,71.10,74.40,64.40,70.70,80.40,85.00,30.00,4.79,30.00,25.00,26.00,32.37,Uruguay,3.48,74.92,1.50,2.77,21527.27,8.15,9.64,953.13,60.93
177,Uzbekistan,Uzbekistan,Asia-Pacific,152.00,37.00,51.50,48.70,35.30,24.20,91.00,65.50,99.70,66.90,52.00,61.90,62.50,0.00,10.00,8.73,22.00,7.50,18.90,33.89,Uzbekistan,31.34,205.69,8.00,8.02,6562.55,8.90,7.98,66.50,11.59
178,Vanuatu,Vanuatu,Asia-Pacific,36.00,10.00,69.50,67.90,47.10,75.40,97.00,78.50,98.00,55.20,59.50,75.70,75.00,65.00,40.00,5.01,0.00,0.00,17.40,26.75,Vanuatu,0.28,0.72,-0.80,1.85,2631.41,5.36,2.19,32.39,31.27
179,Venezuela,Venezuela,Americas,179.00,32.00,25.20,5.20,13.80,7.50,72.50,57.30,18.40,35.40,24.20,0.00,58.70,0.00,10.00,10.67,34.00,34.00,20.90,37.74,Venezuela,31.03,426.97,-5.70,-4.23,13760.56,6.90,254.95,1772.00,28.21
180,Vietnam,Vietnam,Asia-Pacific,141.00,35.00,53.10,46.40,36.30,30.40,79.70,74.00,27.30,63.20,60.40,75.40,78.70,25.00,40.00,3.14,35.00,22.00,17.90,29.43,Vietnam,92.64,595.52,6.70,5.91,6428.57,2.18,2.67,12600.00,62.42
181,Yemen,Yemen,Middle East / North Africa,N/A,N/A,N/A,17.88,16.63,21.20,N/A,80.94,5.43,52.70,52.12,66.57,N/A,50.00,N/A,5.14,20.00,20.00,n/a,25.20,Yemen,29.13,69.19,-28.10,-6.17,2374.86,17.06,5.00,-561.00,85.36
182,Zambia,Zambia,Sub-Saharan Africa,132.00,23.00,54.30,46.00,40.60,36.30,72.10,80.20,14.40,69.80,43.50,65.40,78.30,55.00,50.00,3.35,35.00,35.00,18.40,25.67,Zambia,16.72,64.87,3.60,4.65,3880.31,7.53,17.90,468.54,53.11
183,Zimbabwe,Zimbabwe,Sub-Saharan Africa,174.00,44.00,44.00,27.60,33.00,18.90,61.10,72.00,59.10,37.10,38.80,76.90,69.10,25.00,10.00,5.43,51.50,25.00,24.80,30.56,Zimbabwe,14.50,28.57,1.50,4.11,1970.26,5.09,-1.57,319.41,75.32
184,Somalia,Somalia,Sub-Saharan Africa,N/A,N/A,N/A,33.10,25.40,17.80,N/A,N/A,n/a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,n/a,n/a,n/a,n/a,Somalia,10.80,$5.9 (2015 nominal),3.70,N/A,n/a,6.62,N/A,339.00,n/a
185,Kosovo,Kosovo,Europe,56.00,27.00,66.60,52.30,59.00,45.40,93.20,77.90,92.80,72.60,58.30,81.20,70.80,65.00,30.00,7.10,10.00,10.00,21.80,27.12,Kosovo,1.90,18.44,3.30,3.03,"$9,600 (estimated)",N/A,0.27,249.0 (2014 net),20.58
186,Brunei Darussalam,Brunei ,Asia-Pacific,70.00,16.00,64.20,56.60,57.10,45.40,85.60,57.70,20.00,79.90,88.90,75.10,89.10,65.00,50.00,0.46,0.00,18.50,33.10,37.53,Brunei Darussalam,0.42,32.54,-0.20,-1.46,76884.05,2.00,-0.73,-149.64,3.06
